filename	acq_time	operator	randstr
anat/sub-10478_T1w.nii.gz	1923-03-20T13:50:33.295000	tubric	bd37d4d2
fmap/sub-10478_acq-bold_magnitude1.nii.gz	1923-03-20T13:57:00.005000	tubric	e11fae80
fmap/sub-10478_acq-bold_magnitude2.nii.gz	1923-03-20T13:57:00.005000	tubric	e11fae80
fmap/sub-10478_acq-bold_phasediff.nii.gz	1923-03-20T13:57:00.652500	tubric	cb906cd9
func/sub-10478_task-ugr_run-1_echo-1_part-mag_sbref.nii.gz	1923-03-20T14:01:39.415000	tubric	7048bc3a
func/sub-10478_task-ugr_run-1_echo-1_part-phase_sbref.nii.gz	1923-03-20T14:01:39.415000	tubric	7048bc3a
func/sub-10478_task-ugr_run-1_echo-2_part-mag_sbref.nii.gz	1923-03-20T14:01:39.415000	tubric	7048bc3a
func/sub-10478_task-ugr_run-1_echo-2_part-phase_sbref.nii.gz	1923-03-20T14:01:39.415000	tubric	7048bc3a
func/sub-10478_task-ugr_run-1_echo-3_part-mag_sbref.nii.gz	1923-03-20T14:01:39.415000	tubric	7048bc3a
func/sub-10478_task-ugr_run-1_echo-3_part-phase_sbref.nii.gz	1923-03-20T14:01:39.415000	tubric	7048bc3a
func/sub-10478_task-ugr_run-1_echo-4_part-mag_sbref.nii.gz	1923-03-20T14:01:39.415000	tubric	7048bc3a
func/sub-10478_task-ugr_run-1_echo-4_part-phase_sbref.nii.gz	1923-03-20T14:01:39.415000	tubric	7048bc3a
func/sub-10478_task-ugr_run-1_echo-1_bold.nii.gz	1923-03-20T14:01:44.300000	tubric	f79ef687
func/sub-10478_task-ugr_run-1_echo-2_bold.nii.gz	1923-03-20T14:01:44.300000	tubric	f79ef687
func/sub-10478_task-ugr_run-1_echo-3_bold.nii.gz	1923-03-20T14:01:44.300000	tubric	f79ef687
func/sub-10478_task-ugr_run-1_echo-4_bold.nii.gz	1923-03-20T14:01:44.300000	tubric	f79ef687
func/sub-10478_task-ugr_run-2_echo-1_part-mag_sbref.nii.gz	1923-03-20T14:09:22.350000	tubric	727a2c77
func/sub-10478_task-ugr_run-2_echo-1_part-phase_sbref.nii.gz	1923-03-20T14:09:22.350000	tubric	727a2c77
func/sub-10478_task-ugr_run-2_echo-2_part-mag_sbref.nii.gz	1923-03-20T14:09:22.350000	tubric	727a2c77
func/sub-10478_task-ugr_run-2_echo-2_part-phase_sbref.nii.gz	1923-03-20T14:09:22.350000	tubric	727a2c77
func/sub-10478_task-ugr_run-2_echo-3_part-mag_sbref.nii.gz	1923-03-20T14:09:22.350000	tubric	727a2c77
func/sub-10478_task-ugr_run-2_echo-3_part-phase_sbref.nii.gz	1923-03-20T14:09:22.350000	tubric	727a2c77
func/sub-10478_task-ugr_run-2_echo-4_part-mag_sbref.nii.gz	1923-03-20T14:09:22.350000	tubric	727a2c77
func/sub-10478_task-ugr_run-2_echo-4_part-phase_sbref.nii.gz	1923-03-20T14:09:22.350000	tubric	727a2c77
func/sub-10478_task-ugr_run-2_echo-1_bold.nii.gz	1923-03-20T14:09:27.235000	tubric	e5e42886
func/sub-10478_task-ugr_run-2_echo-2_bold.nii.gz	1923-03-20T14:09:27.235000	tubric	e5e42886
func/sub-10478_task-ugr_run-2_echo-3_bold.nii.gz	1923-03-20T14:09:27.235000	tubric	e5e42886
func/sub-10478_task-ugr_run-2_echo-4_bold.nii.gz	1923-03-20T14:09:27.235000	tubric	e5e42886
func/sub-10478_task-doors_run-1_echo-1_part-mag_sbref.nii.gz	1923-03-20T14:18:14.115000	tubric	5221baa1
func/sub-10478_task-doors_run-1_echo-1_part-phase_sbref.nii.gz	1923-03-20T14:18:14.115000	tubric	5221baa1
func/sub-10478_task-doors_run-1_echo-2_part-mag_sbref.nii.gz	1923-03-20T14:18:14.115000	tubric	5221baa1
func/sub-10478_task-doors_run-1_echo-2_part-phase_sbref.nii.gz	1923-03-20T14:18:14.115000	tubric	5221baa1
func/sub-10478_task-doors_run-1_echo-3_part-mag_sbref.nii.gz	1923-03-20T14:18:14.115000	tubric	5221baa1
func/sub-10478_task-doors_run-1_echo-3_part-phase_sbref.nii.gz	1923-03-20T14:18:14.115000	tubric	5221baa1
func/sub-10478_task-doors_run-1_echo-4_part-mag_sbref.nii.gz	1923-03-20T14:18:14.115000	tubric	5221baa1
func/sub-10478_task-doors_run-1_echo-4_part-phase_sbref.nii.gz	1923-03-20T14:18:14.115000	tubric	5221baa1
func/sub-10478_task-doors_run-1_echo-1_bold.nii.gz	1923-03-20T14:18:19.000000	tubric	c98746a3
func/sub-10478_task-doors_run-1_echo-2_bold.nii.gz	1923-03-20T14:18:19.000000	tubric	c98746a3
func/sub-10478_task-doors_run-1_echo-3_bold.nii.gz	1923-03-20T14:18:19.000000	tubric	c98746a3
